x,y,ra,dec,flux/mCrab,kind,cmosnum
3745.0,3627.0,54.197,0.5878,1.38596613771606,b'Galactic-Star'b'HR1099',48
4011.0,787.0,60.653,-0.26599,1.3698576512455518,point,48
273.0,1210.0,60.042,8.3085,0.3007615658362989,point,48
2694.0,1764.0,58.542,2.827,0.2785266903914591,point,48
2648.0,675.0,61.041,2.8307,0.21598220640569396,point,48
2997.0,3430.0,54.703,2.2771,0.2008576512455516,point,48
1367.0,567.0,61.414,5.7488,0.14640569395017794,point,48
303.0,798.0,60.987,8.1991,0.14055516014234876,point,48
4079.0,3108.0,55.353,-0.21693,0.1260640569395018,point,48
329.0,2853.0,56.245,8.3275,0.11450533807829182,point,48
3138.0,377.0,61.672,1.6841,0.10168683274021352,point,48
3717.0,3557.0,54.67,9.9735,1.9508185053380784,point,47
499.0,2408.0,57.604,17.249000000000002,1.4456583629893238,point,47
3167.0,2415.0,57.361,11.144,0.30204982206405695,point,47
1334.0,3340.0,55.322,15.407,0.25922775800711745,point,47
3372.0,322.0,62.205,10.465,0.23401779359430605,point,47
3474.0,3072.0,55.809,10.495,0.20840925266903917,point,47
1340.0,3330.0,55.345,15.392,0.1921067615658363,point,47
553.0,2844.0,56.558,17.158,0.17366548042704627,point,47
1813.0,2296.0,57.756,14.235,0.15002846975088968,point,47
281.0,2935.0,56.36,17.784000000000006,0.14768327402135234,point,47
271.0,3758.0,54.39100000000001,17.851,0.13816370106761566,point,47
31.0,3556.0,54.889,18.388,0.13666548042704627,point,47
3942.0,636.0,61.407,9.2048,0.1280391459074733,point,47
887.0,1925.0,58.723,16.320999999999998,0.11422775800711744,point,47
3479.0,1303.0,59.919,10.33,0.11211743772241993,point,47
3218.0,1260.0,60.04600000000001,10.92,0.10548754448398577,point,47
152.0,598.0,61.974,17.843,0.10214946619217083,point,47
2564.0,1505.0,49.837,3.3705,1.0900000000000005,point,46
2968.0,747.0,51.558,2.4228,0.7829537366548043,point,46
2203.0,540.0,52.06,4.164,0.7499288256227759,point,46
1279.0,2062.0,48.595,6.3321,0.44736654804270465,point,46
2376.0,2174.0,48.305,3.822,0.2766298932384342,point,46
858.0,248.0,52.784,7.2239,0.2650177935943061,point,46
2108.0,577.0,51.981,4.3816,0.24103914590747333,point,46
1477.0,3241.0,45.87600000000001,5.9056,0.20813523131672598,point,46
1433.0,3888.0,44.392,6.0156,0.18041637010676156,point,46
1550.0,265.0,52.717,5.6445,0.1679217081850534,point,46
3222.0,3432.0,45.403,1.9197,0.16437010676156583,point,46
387.0,2227.0,48.238,8.3768,0.15191103202846976,point,46
2256.0,2697.0,47.109,4.1098,0.14905338078291816,point,46
842.0,1042.0,50.96,7.2957,0.13391103202846974,point,46
75.0,1881.0,49.048,9.0783,0.1259252669039146,point,46
3215.0,3239.0,45.845,1.9295,0.12453024911032029,point,46
683.0,1727.0,49.385,7.6851,0.11176512455516015,point,46
697.0,1738.0,49.36,7.654,0.10373665480427047,point,46
3722.0,2068.0,48.51,0.73987,0.1031423487544484,point,46
2767.0,3108.0,46.154,2.9502,0.1023950177935943,point,46
2205.0,3738.0,44.743,13.58,0.8877580071174378,point,45
3854.0,701.0,51.792,9.7349,0.7845551601423487,point,45
2438.0,3859.0,44.46100000000001,13.045,0.26379003558718866,point,45
925.0,3612.0,45.032,16.505,0.26015302491103204,point,45
2442.0,3860.0,44.458,13.035,0.21125978647686833,point,45
1748.0,3128.0,46.18,14.626,0.17040213523131673,point,45
2532.0,1562.0,49.853,12.795,0.13911387900355873,point,45
3006.0,1130.0,50.843,11.69,0.11347330960854093,point,45
3161.0,3483.0,45.345,11.395,0.11201779359430605,point,45
814.0,3932.0,54.29600000000001,25.993,3.540284697508897,point,44
1609.0,423.0,62.982,23.64,0.5333451957295373,point,44
2379.0,1020.0,61.334,22.01,0.40131672597864776,point,44
2028.0,1016.0,61.418,22.81,0.24202135231316727,point,44
3828.0,4005.0,53.844,19.128,0.2354270462633452,point,44
3486.0,2201.0,58.244,19.688,0.2111459074733096,point,44
442.0,279.0,63.633,26.257,0.19982206405693953,point,44
3188.0,953.0,61.326,20.154,0.1756476868327402,point,44
3857.0,3197.0,55.785,18.976,0.16498932384341639,point,44
3474.0,1424.0,60.128,19.589,0.15765836298932387,point,44
3110.0,822.0,61.662,20.305,0.13579715302491105,point,44
2237.0,2577.0,57.51300000000001,22.594,0.12788256227758008,point,44
1725.0,2704.0,57.275,23.782,0.12235943060498221,point,44
2383.0,1037.0,61.29,22.006,0.12172953736654805,point,44
92.0,3105.0,56.488,27.558000000000003,0.11259786476868328,point,44
1312.0,3200.0,56.08600000000001,24.789,0.11158718861209965,point,44
3356.0,2128.0,58.442,19.974,0.10922064056939502,point,44
1605.0,1094.0,61.316,23.791,0.10491459074733096,point,44
2604.0,2295.0,58.84616670000001,31.0458333,41.48131661384783,b'Galactic-Compact-Binary-Pulsar'b'XPer',43
2058.0,1027.0,62.368,32.047,0.2587402135231317,point,43
512.0,2120.0,59.74100000000001,35.79400000000001,0.2239964412811388,point,43
471.0,510.0,64.259,35.521,0.22052669039145908,point,43
3644.0,2061.0,59.271,28.635,0.21045907473309608,point,43
3904.0,3270.0,56.098,28.207,0.19268683274021353,point,43
2134.0,4076.0,54.12600000000001,32.308,0.17865480427046265,point,43
